name,commits,commit_frequency,start_date,end_date
kodluyoruzMuzik,2.0,2.0,2023-02-13,2023-02-13
ExtensibleMarketPlace,6.0,6.0,2023-02-13,2023-02-13
javascript01,3.0,3.0,2023-02-13,2023-02-13
calculo-de-notas,3.0,3.0,2023-02-13,2023-02-13
FoxholeList,1.0,1.0,2023-02-13,2023-02-13
lsp,10.0,10.0,2023-02-13,2023-02-13
Map,1.0,1.0,2023-02-13,2023-02-13
2dapreentrega-tomasnu-ezguirado,1.0,1.0,2023-02-13,2023-02-13
Cryp_News,1.0,1.0,2023-02-13,2023-02-13
mj,1.0,1.0,2023-02-13,2023-02-13
13_Feb_Assignment,1.0,1.0,2023-02-13,2023-02-13
new-activity,1.0,1.0,2023-02-13,2023-02-13
prueba-divisait,3.0,0.75,2023-02-09,2023-02-13
DZ_seminar_5,4.0,4.0,2023-02-13,2023-02-13
SpringCourse,3.0,3.0,2023-02-12,2023-02-13
book-library,4.0,4.0,2023-02-13,2023-02-13
AWS-HOL-FilterTrafficUsingAWSNetworkFirewall,4.0,4.0,2023-02-13,2023-02-13
Laravel-Unit-Testing,1.0,1.0,2023-02-13,2023-02-13
Miss-You,2.0,2.0,2023-02-13,2023-02-13
Hand-Gestures-,1.0,1.0,2023-02-13,2023-02-13
NgCourse,2.0,2.0,2023-02-13,2023-02-13
CLIM408SeniorResearch,1.0,1.0,2023-02-13,2023-02-13
CSYE7125_WEBAPP,1.0,1.0,2023-02-13,2023-02-13
czekam-na-odpowiedz-,6.0,6.0,2023-02-13,2023-02-13
Valintine,2.0,2.0,2023-02-13,2023-02-13
postmech,313.0,0.09793491864831039,2014-05-15,2023-02-13
mobile-demo,3.0,3.0,2023-02-13,2023-02-13
Strava_webhook,1.0,1.0,2023-02-13,2023-02-13
yenimavi,1.0,1.0,2023-02-13,2023-02-13
Chelo_Casitas,4.0,4.0,2023-02-13,2023-02-13
RoboTrack,3.0,3.0,2023-02-13,2023-02-13
sports-card-investor-blog,1.0,1.0,2023-02-13,2023-02-13
BaseProjet,2.0,2.0,2023-02-13,2023-02-13
QSCFront,1.0,1.0,2023-02-13,2023-02-13
marketspace,2.0,0.03571428571428571,2022-12-19,2023-02-13
pycharmProjects,1.0,1.0,2023-02-13,2023-02-13
lusion-documentation,3.0,3.0,2023-02-13,2023-02-13
kingdom,1.0,1.0,2023-02-13,2023-02-13
AgendaContato,1.0,1.0,2023-02-13,2023-02-13
pensebem,1.0,1.0,2023-02-13,2023-02-13
Prueba-maven,1.0,1.0,2023-02-13,2023-02-13
BH-disease-diagnostic,3.0,3.0,2023-02-13,2023-02-13
practica2,1.0,1.0,2023-02-13,2023-02-13
projeto-74,2.0,2.0,2023-02-13,2023-02-13
CookieCompany,9.0,9.0,2023-02-13,2023-02-13
assessment,1.0,1.0,2023-02-13,2023-02-13
ProgramacionConcurrente,2.0,2.0,2023-02-13,2023-02-13
Calibracion-de-modelos-epidemiologicos-aplicados-a-datos-de-contagio-del-virus-SARS-CoV-2-en-Chile-,9.0,9.0,2023-02-13,2023-02-13
Flexbox,1.0,1.0,2023-02-13,2023-02-13
API-Quiz-,2.0,2.0,2023-02-13,2023-02-13
love-is-key.github.io,2.0,2.0,2023-02-13,2023-02-13
onThisDay,6.0,6.0,2023-02-13,2023-02-13
notebook,1.0,1.0,2023-02-13,2023-02-13
CodeQuotes,5.0,5.0,2023-02-13,2023-02-13
chat-gpt-app,6.0,6.0,2023-02-13,2023-02-13
secondRepo,1.0,1.0,2023-02-13,2023-02-13
API3-Homework,1.0,1.0,2023-02-13,2023-02-13
prework-study-guide,16.0,16.0,2023-02-13,2023-02-13
2_Large_Networks_With___DHCP___VOIP___TELNET___AND___PORT_AND_DEVICE_LEVEL_SECURITY,4.0,4.0,2023-02-13,2023-02-13
ClockTL,1.0,1.0,2023-02-13,2023-02-13
PortfolioProjects-Data-Analyst,12.0,12.0,2023-02-13,2023-02-13
tutor_mundi,6.0,6.0,2023-02-13,2023-02-13
Katamari-x-A-Short-Hike,1.0,1.0,2023-02-13,2023-02-13
Questao15POO,2.0,2.0,2023-02-13,2023-02-13
GameDevClub_UnityDemo,1.0,1.0,2023-02-13,2023-02-13
ariellestorm.github.io,1.0,1.0,2023-02-13,2023-02-13
basic-auth-app-server,5.0,0.14285714285714285,2023-01-09,2023-02-13
Todo-List-React-Fetch,1.0,1.0,2023-02-13,2023-02-13
rebase-merge,4.0,4.0,2023-02-13,2023-02-13
test,2.0,2.0,2023-02-13,2023-02-13
generic_sort_number,1.0,1.0,2023-02-13,2023-02-13
TF_GCP_ORG,1.0,1.0,2023-02-13,2023-02-13
Final-Project-Backend,1.0,1.0,2023-02-13,2023-02-13
Tutorial,1.0,1.0,2023-02-13,2023-02-13
shoppingCart,1.0,1.0,2023-02-13,2023-02-13
peer,5.0,5.0,2023-02-13,2023-02-13
UpcomingSportEvents-Public,51.0,17.0,2023-02-10,2023-02-13
LAYT-Project,3.0,3.0,2023-02-13,2023-02-13
evento-conf,2.0,2.0,2023-02-13,2023-02-13
instagram-post,34.0,0.02442528735632184,2019-04-23,2023-02-13
Circular-Machines-Data-Storage,3.0,3.0,2023-02-13,2023-02-13
adrien-1.github.io,2.0,2.0,2023-02-13,2023-02-13
Soon-TM,209.0,2.5180722891566263,2022-09-22,2022-12-14
draft2,3.0,3.0,2023-02-13,2023-02-13
senac-web-services,1.0,1.0,2023-02-13,2023-02-13
practice-repository2,1.0,1.0,2023-02-13,2023-02-13
tuto-vs-code,2.0,2.0,2023-02-13,2023-02-13
rastreamento,1.0,1.0,2023-02-13,2023-02-13
Microverse-project-Tochukwu-Nonso,3.0,3.0,2023-02-13,2023-02-13
academicologin,1.0,1.0,2023-02-13,2023-02-13
week4day1homework,1.0,1.0,2023-02-13,2023-02-13
Checkpoint-DATABASE,2.0,2.0,2023-02-13,2023-02-13
rap-lyrics,2.0,2.0,2023-02-13,2023-02-13
Ultraviolet-App-0,143.0,0.40625,2022-02-24,2023-02-11
E-bike,1.0,1.0,2023-02-13,2023-02-13
Split-Bill-Lah,2.0,2.0,2023-02-13,2023-02-13
game-of-life,2.0,2.0,2023-02-13,2023-02-13
nuevo1,2.0,2.0,2023-02-13,2023-02-13
liam-swa-challenge,4.0,4.0,2023-02-13,2023-02-13
sqlalchemy-challenge,2.0,2.0,2023-02-13,2023-02-13
DeepONet-Experiments,1.0,1.0,2023-02-13,2023-02-13
symfony-microservices,2.0,2.0,2023-02-13,2023-02-13
PPP-Loan-Data-Study,2.0,2.0,2023-02-13,2023-02-13
BinarySearch,1.0,1.0,2023-02-13,2023-02-13
CSYE7125_TF_AWS_KOPS_K8s,1.0,1.0,2023-02-13,2023-02-13
landing,1.0,1.0,2023-02-13,2023-02-13
Iot-Laravel-simulation,4.0,4.0,2023-02-13,2023-02-13
beta_version_final,21.0,0.1926605504587156,2022-10-27,2023-02-13
trabajo,2.0,2.0,2023-02-13,2023-02-13
chat-products-railway,6.0,6.0,2023-02-13,2023-02-13
prescotts-wp-theme,2.0,2.0,2023-02-13,2023-02-13
codingFoundations,1.0,1.0,2023-02-13,2023-02-13
Personal_portfolio.github.io,3.0,3.0,2023-02-13,2023-02-13
c135-137,3.0,3.0,2023-02-13,2023-02-13
books-bulvee-api,2.0,2.0,2023-02-13,2023-02-13
rohit15c2001.github.io,1.0,1.0,2023-02-13,2023-02-13
designPatternsProject,1.0,1.0,2023-02-13,2023-02-13
Asteroid-Database-Application,3.0,3.0,2023-02-13,2023-02-13
example,1.0,1.0,2023-02-13,2023-02-13
league-calculator,3.0,3.0,2023-02-13,2023-02-13
New-Repository,1.0,1.0,2023-02-13,2023-02-13
counter,1.0,1.0,2023-02-13,2023-02-13
bitnami,2.0,2.0,2023-02-13,2023-02-13
burger-shack,6.0,6.0,2023-02-13,2023-02-13
Fetch-API-Work,2.0,2.0,2023-02-13,2023-02-13
JAVASCRIPT_BASIC,1.0,1.0,2023-02-13,2023-02-13
challenge-ci,1.0,1.0,2023-02-13,2023-02-13
drewandersen25.github-io,1.0,1.0,2023-02-13,2023-02-13
microserviceSeguros,18.0,18.0,2023-02-12,2023-02-13
Flash-Chat-iOS13,9.0,0.007431874483897605,2019-10-21,2023-02-13
rails-longest-word-game,2.0,2.0,2023-02-13,2023-02-13
Prework,4.0,4.0,2023-02-13,2023-02-13
bootcamp,3.0,3.0,2023-02-13,2023-02-13
JumpGame,6.0,6.0,2023-02-13,2023-02-13
Portifolio,7.0,7.0,2023-02-13,2023-02-13
UMBC436,2.0,2.0,2023-02-13,2023-02-13
menu,2.0,2.0,2023-02-13,2023-02-13
validation,2.0,2.0,2023-02-13,2023-02-13
TGIS504Lab6,2.0,2.0,2023-02-12,2023-02-13
testenv,1.0,1.0,2023-02-13,2023-02-13
weekly-summary-5,3.0,3.0,2023-02-13,2023-02-13
KristianC8.github.io,1.0,1.0,2023-02-13,2023-02-13
Retro-Fish,1.0,1.0,2023-02-13,2023-02-13
NAEjercicio17,2.0,2.0,2023-02-13,2023-02-13
PrepcourseHenry,2.0,2.0,2023-02-13,2023-02-13
switch-bot,2.0,2.0,2023-02-13,2023-02-13
comedyPlay,2.0,2.0,2023-02-13,2023-02-13
LeCrew-Server,3.0,3.0,2023-02-13,2023-02-13
safari-try,14.0,14.0,2023-02-13,2023-02-13
DecoitoD_TaskManager,1.0,1.0,2023-02-13,2023-02-13
aaaa,1.0,1.0,2023-02-13,2023-02-13
ProyectoWeb,2.0,2.0,2023-02-13,2023-02-13
felipelog-api,1.0,1.0,2023-02-13,2023-02-13
course-scheduler,2.0,2.0,2023-02-13,2023-02-13
friends-,1.0,1.0,2023-02-13,2023-02-13
skkuNoticeBot,5.0,5.0,2023-02-13,2023-02-13
Integration,2.0,2.0,2023-02-13,2023-02-13
userinfo,5.0,5.0,2023-02-13,2023-02-13
Comp_Sci_Myproject,3.0,3.0,2023-02-13,2023-02-13
CSYE7125_TerraformGCPNetworking,1.0,1.0,2023-02-13,2023-02-13
analysis,1.0,1.0,2023-02-13,2023-02-13
tayna01,8.0,8.0,2023-02-13,2023-02-13
projeto-73,2.0,2.0,2023-02-13,2023-02-13
Banking-capstone,13.0,0.0783132530120482,2022-08-31,2023-02-13
sundae-tdd,2.0,2.0,2023-02-13,2023-02-13
-P.P-Math-Test,3.0,3.0,2023-02-13,2023-02-13
mttt,1.0,1.0,2023-02-13,2023-02-13
profile-card-component,1.0,1.0,2023-02-13,2023-02-13
AngularCourse,1.0,1.0,2023-02-13,2023-02-13
secoms319,1.0,1.0,2023-02-13,2023-02-13
Navbar,1.0,1.0,2023-02-13,2023-02-13
